Shot,Lineage,X,Y,Z,SOX2,POU5F1,TFAP2C,TFAP2A,VTCN1,T,MIXL1,OTX2
229_H,ExMes_CS6,-33.0197449,12.5850214,-243.869216,0,0.435934817,0.532112185,0.318220806,0,0,0,0
229_L,ExMes_CS6,150.36658,99.3678933,-249.882033,0,0,0,0,0,0,0,0
229_N,ExMes_CS6,-145.016218,-42.3713319,-235.455511,0,0,0,0,0.024555633,0,0,0
237_AH,ExMes_CS6,199.616396,64.3250684,-112.445465,0,1.27266375,0.029116236,0,0.007358921,0.618845675,0.661672087,0
237_AJ,ExMes_CS6,200.213862,19.0583159,-105.618248,0,0.227922889,0.032644997,0.009436391,0.004729326,0.02342609,0.009436391,0
237_AL,ExMes_CS6,156.030146,-35.4082451,-132.684441,0,1.04211351,0.006888472,0,0,0.104896838,0.932727785,0
237_AZ,ExMes_CS6,70.4533071,-191.12089,-99.2331591,0,0.029174108,0,0,0,0,0,0
237_BB,ExMes_CS6,131.578848,-114.363488,-104.920727,0,0.024262247,0.00977565,0.00977565,0,0,0,0
237_BD,ExMes_CS6,165.743668,-79.4682525,-102.227334,0,0.746577745,0.03755379,0,0,0,0.009521488,0.018953171
237_BH,ExMes_CS6,217.461989,-107.069641,-122.168915,0.009688834,0.6548806,0.009688834,0.009688834,0,0,0,0
234_F,ExMes_CS6,-174.449562,37.6702954,-164.811643,0,1.32860754,0,0,0.052997587,0,0,0
234_J,ExMes_CS6,-178.084208,-136.413509,-147.879705,0,1.21472635,0.997396156,0,0,0,0,0
234_L,ExMes_CS6,-53.1662176,-144.069712,-168.446147,0,0.39104574,0.190087313,0,0.058095089,0,0,0
234_R,ExMes_CS6,39.3971058,-43.4416669,-181.122664,0,1.09331491,0,0,0,0.007661082,0,0
234_T,ExMes_CS6,82.2534237,-71.8905666,-167.66256,0,0,0,0,0,0,0,0
234_V,ExMes_CS6,144.412401,-34.4188004,-143.736585,0,0,0,0,0,0,0,0
234_X,ExMes_CS6,112.708435,37.4789951,-165.693589,0,0.018993851,0,0,0,0,0,0
234_Z,ExMes_CS6,152.369213,46.8776065,-159.032801,0,0.061941506,0,0,0,0,0,0
234_AB,ExMes_CS6,177.195797,81.5767315,-153.620286,0,0.693516703,0,0,0,0,0,0
234_AD,ExMes_CS6,241.880908,143.71765,-153.721653,0,0,0,0.031801912,0,0,0,0
234_AH,ExMes_CS6,83.7677549,138.359246,-176.686761,0,0.042735109,0,0,0,0,0,0
234_AL,ExMes_CS6,65.030345,243.573697,-179.901264,0,0.015844501,0.015844501,0.503679137,0,0.07682534,0,0
234_AN,ExMes_CS6,129.432464,180.321284,-162.769116,0,0.394016709,0.578365845,0,0,0,0,0
240_AT,ExMes_CS6,-163.253063,-6.91637192,-62.6559213,0,0.872305601,0,0,0.006252576,0.030879116,0.018641652,0
246_X,ExMes_CS6,285.6188,77.2729308,16.0698924,0,1.19390099,0,0,0,0.014391298,0,0
246_AD,ExMes_CS6,290.026201,-53.7978814,31.0303027,0,0.741331739,0.015574213,0,0,0.015574213,0.015574213,0.015574213
249_B,ExMes_CS6,-226.387214,-172.405344,99.6983738,0,0,0,0.03272929,0.03272929,0,0.03272929,0
252_AN,ExMes_CS6,364.423748,125.496248,163.977342,0.01248384,0.07266714,0,0,0.024813753,0.01248384,0.01248384,0
255_Y,ExMes_CS6,295.005092,235.100147,172.795637,0,0.73966268,0.370779935,0,0,0,0,0
255_AI,ExMes_CS6,412.661763,284.590145,163.177375,0.007964337,0.265323864,0.015865743,0,0,0.007964337,0,0.007964337
255_AK,ExMes_CS6,461.193779,239.116853,175.900121,0.002635028,0.002635028,0.023468963,0,0,0,0,0
255_AM,ExMes_CS6,440.717929,94.1967427,172.108333,0.007846445,1.1015127,0.075824371,0,0.031023009,0,0,0
229_A,ExMes_CS6,142.035969,20.9782431,-256.031355,0,0,0,0,0,0,0,0
229_C,ExMes_CS6,9.34326158,-43.9776994,-263.098006,0,0,0,0.018610139,0,0,0,0
229_E,ExMes_CS6,77.5725097,48.9060554,-256.692808,0,0.232834855,0,0,0,0,0,0
229_I,ExMes_CS6,4.73941247,58.6360638,-239.300182,0,0,0.793477148,0,0,0,0,0
229_K,ExMes_CS6,93.0090081,93.2265364,-247.211835,0,0,0,0,0,0,0,0
229_M,ExMes_CS6,-183.259968,-64.1133551,-236.034447,0,0,0,0,0,0,0,0
237_AG,ExMes_CS6,186.964723,115.418628,-112.44861,0.011153871,0.054565396,0.043887911,0.011153871,0.011153871,0.065130077,0,0
237_AK,ExMes_CS6,190.764433,-7.10203334,-113.269818,0,0.087428616,0.007584858,0,0,0.277461452,0,0
237_AQ,ExMes_CS6,-48.3282569,-237.460719,-103.644512,0,0.021940635,2.42927369,0,0,0,0,0
237_AY,ExMes_CS6,90.9729165,-138.020336,-114.797621,0,0.518210994,0,0,0,0.009134119,0.136988875,0
237_BA,ExMes_CS6,174.24159,170.969181,-111.571008,0,0.00632666,0.02506997,0,0.00632666,0,0.00632666,0.00632666
237_BC,ExMes_CS6,129.385923,-184.452394,-121.607451,0.00745551,0.763118996,0.00745551,0,0,0.014855847,0.022201821,0
237_BE,ExMes_CS6,172.709816,5.54912989,-141.600213,0,0.2541954,0,0,0.008007403,0.823424352,0.008007403,0
237_BG,ExMes_CS6,186.789743,-151.533063,-114.710669,0,0,0.014456718,0,0,0,0,0
